customer_id,name,email,signup_date
C1000,Customer_0,customer0@example.com,2022-04-13
C1001,Customer_1,customer1@example.com,2023-03-12
C1002,Customer_2,customer2@example.com,2022-09-28
C1003,Customer_3,customer3@example.com,2022-04-17
C1004,Customer_4,customer4@example.com,2022-03-13
C1005,Customer_5,customer5@example.com,2023-12-02
C1006,Customer_6,customer6@example.com,2022-01-21
C1007,Customer_7,customer7@example.com,2023-09-07
C1008,Customer_8,customer8@example.com,2022-05-02
C1009,Customer_9,customer9@example.com,2023-04-12
C1010,Customer_10,customer10@example.com,2022-08-03
C1011,Customer_11,customer11@example.com,2022-11-27
C1012,Customer_12,customer12@example.com,2023-04-04
C1013,Customer_13,customer13@example.com,2022-03-29
C1014,Customer_14,customer14@example.com,2023-01-08
C1015,Customer_15,customer15@example.com,2022-04-10
C1016,Customer_16,customer16@example.com,2023-10-26
C1017,Customer_17,customer17@example.com,2022-05-11
C1018,Customer_18,customer18@example.com,2023-10-24
C1019,Customer_19,customer19@example.com,2022-11-05
C1020,Customer_20,customer20@example.com,2022-12-10
C1021,Customer_21,customer21@example.com,2023-05-07
C1022,Customer_22,customer22@example.com,2023-02-18
C1023,Customer_23,customer23@example.com,2023-01-21
C1024,Customer_24,customer24@example.com,2022-07-11
C1025,Customer_25,customer25@example.com,2022-10-04
C1026,Customer_26,customer26@example.com,2022-06-10
C1027,Customer_27,customer27@example.com,2023-04-05
C1028,Customer_28,customer28@example.com,2022-11-10
C1029,Customer_29,customer29@example.com,2022-01-22
C1030,Customer_30,customer30@example.com,2022-09-10
C1031,Customer_31,customer31@example.com,2023-07-15
C1032,Customer_32,customer32@example.com,2023-04-20
C1033,Customer_33,customer33@example.com,2022-02-28
C1034,Customer_34,customer34@example.com,2023-05-26
C1035,Customer_35,customer35@example.com,2023-11-13
C1036,Customer_36,customer36@example.com,2023-04-21
C1037,Customer_37,customer37@example.com,2023-12-01
C1038,Customer_38,customer38@example.com,2022-07-09
C1039,Customer_39,customer39@example.com,2023-11-18
C1040,Customer_40,customer40@example.com,2023-07-17
C1041,Customer_41,customer41@example.com,2023-07-21
C1042,Customer_42,customer42@example.com,2022-09-01
C1043,Customer_43,customer43@example.com,2023-05-20
C1044,Customer_44,customer44@example.com,2022-05-11
C1045,Customer_45,customer45@example.com,2023-04-30
C1046,Customer_46,customer46@example.com,2023-10-09
C1047,Customer_47,customer47@example.com,2022-01-21
C1048,Customer_48,customer48@example.com,2022-06-16
C1049,Customer_49,customer49@example.com,2022-10-01
C1050,Customer_50,customer50@example.com,2023-01-23
C1051,Customer_51,customer51@example.com,2023-08-24
C1052,Customer_52,customer52@example.com,2022-11-12
C1053,Customer_53,customer53@example.com,2022-01-14
C1054,Customer_54,customer54@example.com,2022-08-30
C1055,Customer_55,customer55@example.com,2022-12-12
C1056,Customer_56,customer56@example.com,2023-07-19
C1057,Customer_57,customer57@example.com,2022-12-06
C1058,Customer_58,customer58@example.com,2022-04-02
C1059,Customer_59,customer59@example.com,2023-01-02
C1060,Customer_60,customer60@example.com,2023-03-31
C1061,Customer_61,customer61@example.com,2023-03-04
C1062,Customer_62,customer62@example.com,2023-05-24
C1063,Customer_63,customer63@example.com,2022-02-04
C1064,Customer_64,customer64@example.com,2022-07-25
C1065,Customer_65,customer65@example.com,2022-03-22
C1066,Customer_66,customer66@example.com,2023-07-16
C1067,Customer_67,customer67@example.com,2023-01-23
C1068,Customer_68,customer68@example.com,2022-01-02
C1069,Customer_69,customer69@example.com,2023-01-25
C1070,Customer_70,customer70@example.com,2023-07-20
C1071,Customer_71,customer71@example.com,2022-04-16
C1072,Customer_72,customer72@example.com,2023-04-22
C1073,Customer_73,customer73@example.com,2023-12-04
C1074,Customer_74,customer74@example.com,2023-02-06
C1075,Customer_75,customer75@example.com,2023-12-31
C1076,Customer_76,customer76@example.com,2023-07-10
C1077,Customer_77,customer77@example.com,2022-06-11
C1078,Customer_78,customer78@example.com,2022-07-21
C1079,Customer_79,customer79@example.com,2022-09-27
C1080,Customer_80,customer80@example.com,2022-09-28
C1081,Customer_81,customer81@example.com,2023-04-01
C1082,Customer_82,customer82@example.com,2023-04-07
C1083,Customer_83,customer83@example.com,2023-12-28
C1084,Customer_84,customer84@example.com,2022-09-09
C1085,Customer_85,customer85@example.com,2023-12-03
C1086,Customer_86,customer86@example.com,2022-10-23
C1087,Customer_87,customer87@example.com,2023-12-26
C1088,Customer_88,customer88@example.com,2023-12-21
C1089,Customer_89,customer89@example.com,2022-12-04
C1090,Customer_90,customer90@example.com,2022-02-22
C1091,Customer_91,customer91@example.com,2022-08-05
C1092,Customer_92,customer92@example.com,2022-07-07
C1093,Customer_93,customer93@example.com,2023-01-15
C1094,Customer_94,customer94@example.com,2023-05-08
C1095,Customer_95,customer95@example.com,2022-02-10
C1096,Customer_96,customer96@example.com,2022-06-06
C1097,Customer_97,customer97@example.com,2022-01-15
C1098,Customer_98,customer98@example.com,2022-03-06
C1099,Customer_99,customer99@example.com,2023-06-05
C1100,Customer_100,customer100@example.com,2022-12-10
C1101,Customer_101,customer101@example.com,2022-05-09
C1102,Customer_102,customer102@example.com,2023-10-10
C1103,Customer_103,customer103@example.com,2023-04-17
C1104,Customer_104,customer104@example.com,2022-03-04
C1105,Customer_105,customer105@example.com,2022-05-19
C1106,Customer_106,customer106@example.com,2023-05-14
C1107,Customer_107,customer107@example.com,2023-08-16
C1108,Customer_108,customer108@example.com,2023-01-27
C1109,Customer_109,customer109@example.com,2023-11-06
C1110,Customer_110,customer110@example.com,2023-02-23
C1111,Customer_111,customer111@example.com,2022-10-16
C1112,Customer_112,customer112@example.com,2023-01-14
C1113,Customer_113,customer113@example.com,2023-05-05
C1114,Customer_114,customer114@example.com,2022-08-19
C1115,Customer_115,customer115@example.com,2022-02-10
C1116,Customer_116,customer116@example.com,2022-01-28
C1117,Customer_117,customer117@example.com,2022-05-15
C1118,Customer_118,customer118@example.com,2022-07-20
C1119,Customer_119,customer119@example.com,2022-02-02
C1120,Customer_120,customer120@example.com,2022-02-17
C1121,Customer_121,customer121@example.com,2023-05-18
C1122,Customer_122,customer122@example.com,2023-02-11
C1123,Customer_123,customer123@example.com,2023-07-28
C1124,Customer_124,customer124@example.com,2023-12-29
C1125,Customer_125,customer125@example.com,2022-04-09
C1126,Customer_126,customer126@example.com,2023-11-15
C1127,Customer_127,customer127@example.com,2023-12-27
C1128,Customer_128,customer128@example.com,2023-07-01
C1129,Customer_129,customer129@example.com,2023-09-05
C1130,Customer_130,customer130@example.com,2023-04-07
C1131,Customer_131,customer131@example.com,2023-10-05
C1132,Customer_132,customer132@example.com,2022-01-05
C1133,Customer_133,customer133@example.com,2022-08-06
C1134,Customer_134,customer134@example.com,2023-05-18
C1135,Customer_135,customer135@example.com,2023-02-02
C1136,Customer_136,customer136@example.com,2023-01-28
C1137,Customer_137,customer137@example.com,2022-07-26
C1138,Customer_138,customer138@example.com,2022-01-15
C1139,Customer_139,customer139@example.com,2023-07-08
C1140,Customer_140,customer140@example.com,2023-04-06
C1141,Customer_141,customer141@example.com,2023-11-22
C1142,Customer_142,customer142@example.com,2023-07-29
C1143,Customer_143,customer143@example.com,2022-08-29
C1144,Customer_144,customer144@example.com,2023-07-18
C1145,Customer_145,customer145@example.com,2022-04-06
C1146,Customer_146,customer146@example.com,2023-04-30
C1147,Customer_147,customer147@example.com,2023-02-11
C1148,Customer_148,customer148@example.com,2022-08-19
C1149,Customer_149,customer149@example.com,2023-10-17
C1150,Customer_150,customer150@example.com,2022-06-20
C1151,Customer_151,customer151@example.com,2023-06-25
C1152,Customer_152,customer152@example.com,2022-02-05
C1153,Customer_153,customer153@example.com,2023-06-09
C1154,Customer_154,customer154@example.com,2022-06-09
C1155,Customer_155,customer155@example.com,2023-11-30
C1156,Customer_156,customer156@example.com,2022-08-31
C1157,Customer_157,customer157@example.com,2022-03-27
C1158,Customer_158,customer158@example.com,2023-08-01
C1159,Customer_159,customer159@example.com,2023-11-13
C1160,Customer_160,customer160@example.com,2023-07-11
C1161,Customer_161,customer161@example.com,2023-07-28
C1162,Customer_162,customer162@example.com,2023-10-08
C1163,Customer_163,customer163@example.com,2022-01-28
C1164,Customer_164,customer164@example.com,2023-09-12
C1165,Customer_165,customer165@example.com,2023-07-10
C1166,Customer_166,customer166@example.com,2022-12-06
C1167,Customer_167,customer167@example.com,2022-11-27
C1168,Customer_168,customer168@example.com,2023-10-02
C1169,Customer_169,customer169@example.com,2023-05-21
C1170,Customer_170,customer170@example.com,2022-12-14
C1171,Customer_171,customer171@example.com,2023-04-18
C1172,Customer_172,customer172@example.com,2022-08-19
C1173,Customer_173,customer173@example.com,2022-07-09
C1174,Customer_174,customer174@example.com,2022-08-13
C1175,Customer_175,customer175@example.com,2023-01-20
C1176,Customer_176,customer176@example.com,2023-01-12
C1177,Customer_177,customer177@example.com,2022-10-10
C1178,Customer_178,customer178@example.com,2023-09-25
C1179,Customer_179,customer179@example.com,2023-09-20
C1180,Customer_180,customer180@example.com,2022-09-16
C1181,Customer_181,customer181@example.com,2022-12-25
C1182,Customer_182,customer182@example.com,2023-12-11
C1183,Customer_183,customer183@example.com,2023-04-01
C1184,Customer_184,customer184@example.com,2023-02-15
C1185,Customer_185,customer185@example.com,2023-10-11
C1186,Customer_186,customer186@example.com,2022-11-14
C1187,Customer_187,customer187@example.com,2023-11-08
C1188,Customer_188,customer188@example.com,2022-08-13
C1189,Customer_189,customer189@example.com,2022-08-22
C1190,Customer_190,customer190@example.com,2023-11-15
C1191,Customer_191,customer191@example.com,2023-10-26
C1192,Customer_192,customer192@example.com,2023-01-09
C1193,Customer_193,customer193@example.com,2023-11-03
C1194,Customer_194,customer194@example.com,2023-08-31
C1195,Customer_195,customer195@example.com,2023-04-17
C1196,Customer_196,customer196@example.com,2022-08-21
C1197,Customer_197,customer197@example.com,2023-11-23
C1198,Customer_198,customer198@example.com,2022-04-23
C1199,Customer_199,customer199@example.com,2023-05-12
C1200,Customer_200,customer200@example.com,2023-03-18
C1201,Customer_201,customer201@example.com,2023-07-18
C1202,Customer_202,customer202@example.com,2022-09-25
C1203,Customer_203,customer203@example.com,2023-05-25
C1204,Customer_204,customer204@example.com,2023-01-21
C1205,Customer_205,customer205@example.com,2023-01-22
C1206,Customer_206,customer206@example.com,2022-04-23
C1207,Customer_207,customer207@example.com,2023-09-05
C1208,Customer_208,customer208@example.com,2023-09-17
C1209,Customer_209,customer209@example.com,2022-03-22
C1210,Customer_210,customer210@example.com,2023-11-30
C1211,Customer_211,customer211@example.com,2022-04-23
C1212,Customer_212,customer212@example.com,2022-01-02
C1213,Customer_213,customer213@example.com,2023-10-04
C1214,Customer_214,customer214@example.com,2022-08-08
C1215,Customer_215,customer215@example.com,2023-07-20
C1216,Customer_216,customer216@example.com,2022-08-13
C1217,Customer_217,customer217@example.com,2023-01-20
C1218,Customer_218,customer218@example.com,2023-02-07
C1219,Customer_219,customer219@example.com,2023-09-30
C1220,Customer_220,customer220@example.com,2022-05-10
C1221,Customer_221,customer221@example.com,2022-02-22
C1222,Customer_222,customer222@example.com,2023-11-15
C1223,Customer_223,customer223@example.com,2023-12-31
C1224,Customer_224,customer224@example.com,2023-11-03
C1225,Customer_225,customer225@example.com,2023-12-11
C1226,Customer_226,customer226@example.com,2023-02-20
C1227,Customer_227,customer227@example.com,2022-09-04
C1228,Customer_228,customer228@example.com,2023-03-15
